site/spp;Aegiphila_integrifolia;Alchornea_glandulosa;Anadenanthera_colubrina;Andira_anthelmia;Annona_crassiflora;Apuleia_leiocarpa;Astronium_graveolens;Baccharis_dracunculifolia;Bauhinia_forficata;Bixa_orellana;Cassia_ferruginea;Cecropia_pachystachya;Cedrela_fissilis;Ceiba_speciosa;Cenostigma_pluviosum;Centrolobium_microchaete;Centrolobium_tomentosum;Cestrum_laevigatum;Chloroleucon_tortum;Cinnamomum_verum;Citharexylum_myrianthum;Copaifera_langsdorffii;Cordia_superba;Croton_floribundus;Croton_urucurana;Cupania_vernalis;Cybistax_antisyphilitica;Dalbergia_nigra;Enterolobium_contortisiliquum;Erythrina_verna;Eugenia_uniflora;Gallesia_integrifolia;Genipa_americana;Guarea_guidonia;Guazuma_ulmifolia;Handroanthus_albus;Handroanthus_heptaphyllus;Himatanthus_bracteatus;Hydrochorea_pedicellaris;Hymenaea_courbaril;Inga_edulis;Inga_laurina;Inga_vera;Jacaratia_spinosa;Joannesia_princeps;Lecythis_pisonis;Libidibia_ferrea;Luehea_divaricata;Machaerium_hirtum;Machaerium_nyctitans;Marlimorimia_contorta;Mespilodaphne_pulchella;Miconia_albicans;Miconia_sellowiana;Mimosa_bimucronata;Mimosa_schomburgkii;Moquiniastrum_polymorphum;Myrcia_splendens;Myrcia_tomentosa;Myrsine_coriacea;Pachira_glabra;Paubrasilia_echinata;Peltophorum_dubium;Pilocarpus_microphyllus;Piptocarpha_axillaris;Pityrocarpa_gonoacantha;Pityrocarpa_paniculata;Plathymenia_reticulata;Pleroma_granulosum;Pleroma_sellowianum;Plinia_cauliflora;Pseudobombax_grandiflorum;Psidium_cattleianum;Psidium_guajava;Psidium_sartorianum;Pterocarpus_rohrii;Pterogyne_nitens;Pterygota_brasiliensis;Samanea_saman;Sapindus_saponaria;Schinus_molle;Schinus_terebinthifolia;Schizolobium_parahyba;Senegalia_polyphylla;Senna_macranthera;Senna_multijuga;Solanum_lycocarpum;Solanum_pseudoquina;Spondias_mombin;Stryphnodendron_adstringens;Tabernaemontana_hystrix;Tapirira_guianensis;Tecoma_stans;Trema_micranthum;Triplaris_americana;Vernonanthura_polyanthes;Zanthoxylum_rhoifolium;Zeyheria_tuberculosa
CSA1;0;0;0;0;0;0;0;0;0;0.0359;0;0;0;0;0.0454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0095;0;0;0;0;0.0115;0;0;0.0812;0.3464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0223;0;0.0573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0408;0;0.0964;0;0.1827;0;0;0;0;0;0;0;0;0;0;0.0705;0;0;0
CSA2;0;0;0.0222;0;0;0;0;0;0;0.0376;0;0;0;0;0.0859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0704;0;0;0;0;0.0853;0;0;0;0;0;0;0;0.0096;0;0;0;0.0268;0;0.1278;0;0.0384;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0
CSA3;0;0;0;0;0;0;0;0;0;0.0102;0;0;0;0;0.0215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0284;0.198;0;0;0;0;0;0;0;0.0129;0.0326;0;0;0;0;0;0;0;0;0;0;0;0;0.0802;0;0;0;0;0;0;0;0;0;0;0.0413;0;0.0071;0.0269;0;0.0645;0;0;0.2795;0;0.1829;0;0;0;0;0;0;0;0;0;0;0.014;0;0;0
CSA4;0;0;0;0;0;0;0;0;0;0.0755;0.0489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0324;0;0;0;0;0;0;0;0;0;0;0;0.2435;0;0;0;0;0;0.0452;0;0.0575;0;0;0;0;0;0;0;0;0;0;0;0.0119;0;0.1034;0;0;0.2406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.084;0;0;0;0;0;0;0;0;0;0;0;0;0.0571;0;0;0
CSA5;0;0;0.2932;0;0;0;0;0;0;0.0761;0;0;0;0;0.0344;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0783;0;0;0;0;0;0;0;0.0452;0;0;0.0344;0;0;0.0579;0;0;0;0;0;0.0519;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0229;0;0;0.0929;0;0;0;0;0.0159;0;0;0;0;0.0159;0;0;0;0.0458;0;0;0;0.135;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CSA6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0074;0;0;0;0;0;0;0;0.013;0;0;0;0;0;0.0439;0;0;0;0.2118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0437;0;0;0;0;0;0;0;0;0;0.0274;0;0;0;0.0088;0;0;0.0613;0;0.3932;0.0474;0.0534;0;0;0;0;0;0;0;0;0;0;0.0887;0;0;0
CSA7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0.0199;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0061;0;0;0.0159;0.5307;0;0;0;0;0;0;0;0.0437;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0453;0;0;0;0;0.0546;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1174;0.0311;0.0423;0;0.0235;0;0;0;0;0;0;0;0;0.0496;0;0;0
EEG11;0;0.091;0.0886;0;0;0.0147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0146;0;0;0;0;0.0952;0.2227;0;0;0;0;0;0.0668;0;0;0;0;0;0;0;0;0;0.2393;0;0;0;0;0;0;0;0.0389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1284;0;0;0;0;0;0;0;0;0
EEG12;0;0;0.03;0;0;0;0;0;0;0;0;0.0492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0455;0;0;0;0;0;0;0.0584;0;0.039;0;0.0693;0;0;0;0;0;0;0;0.1637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4161;0;0;0;0;0;0;0.071;0.0578;0;0;0;0;0;0;0;0
EEG13;0;0;0.0233;0;0;0.0194;0;0;0.0206;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0194;0;0;0;0.1701;0;0.1691;0;0.0345;0;0;0;0;0;0;0;0.269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1659;0;0;0;0;0;0;0.0408;0.0252;0;0;0;0;0;0;0;0
EEG14;0;0;0;0;0;0;0;0;0;0;0;0.028;0;0;0;0;0;0;0;0;0;0;0.0223;0;0;0;0;0;0;0;0;0;0.0053;0;0;0.0198;0;0;0.0419;0;0;0.0764;0.1065;0;0.2059;0;0.0469;0;0;0;0;0;0;0;0.2175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0684;0;0;0;0;0;0;0.1612;0;0;0;0;0;0;0;0;0
EEG15;0;0;0.0215;0.0101;0;0;0;0;0;0;0;0.0291;0;0.0181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0495;0.0167;0;0;0;0;0;0.0245;0;0;0.4663;0;0.1159;0;0;0;0;0;0;0;0.0965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EEG21;0;0;0;0;0.0193;0;0;0;0;0;0;0.0156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0575;0;0;0.0051;0;0;0.0349;0;0;0.6686;0;0;0;0;0.009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0101;0;0;0;0;0;0;0;0;0;0.0845;0.076;0;0;0;0;0;0;0.0194;0;0;0;0;0;0;0;0
EEG22;0.1441;0;0;0;0;0;0;0;0;0;0;0.0303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0265;0;0;0;0;0;0;0;0;0.2751;0;0;0.0733;0;0.014;0;0;0;0;0;0;0;0.1264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.073;0.0785;0;0;0.1588;0;0;0;0;0;0;0;0;0;0;0;0
EEG23;0;0;0.2434;0;0;0;0;0;0;0;0;0;0;0.1341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.36;0;0;0;0;0;0.1607;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EEG24;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2361;0;0;0;0;0;0.1059;0;0;0.0351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0856;0;0;0;0;0;0;0;0.1683;0.1457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
