site/spp;Aegiphila_integrifolia;Alchornea_glandulosa;Anadenanthera_colubrina;Andira_anthelmia;Annona_crassiflora;Apuleia_leiocarpa;Astronium_graveolens;Baccharis_dracunculifolia;Bauhinia_forficata;Bixa_orellana;Cassia_ferruginea;Cecropia_pachystachya;Cedrela_fissilis;Ceiba_speciosa;Cenostigma_pluviosum;Centrolobium_microchaete;Centrolobium_tomentosum;Cestrum_laevigatum;Chloroleucon_tortum;Cinnamomum_verum;Citharexylum_myrianthum;Copaifera_langsdorffii;Cordia_superba;Croton_floribundus;Croton_urucurana;Cupania_vernalis;Cybistax_antisyphilitica;Dalbergia_nigra;Enterolobium_contortisiliquum;Erythrina_verna;Eugenia_uniflora;Gallesia_integrifolia;Genipa_americana;Guarea_guidonia;Guazuma_ulmifolia;Handroanthus_albus;Handroanthus_heptaphyllus;Himatanthus_bracteatus;Hydrochorea_pedicellaris;Hymenaea_courbaril;Inga_edulis;Inga_laurina;Inga_vera;Jacaratia_spinosa;Joannesia_princeps;Lecythis_pisonis;Libidibia_ferrea;Luehea_divaricata;Machaerium_hirtum;Machaerium_nyctitans;Marlimorimia_contorta;Mespilodaphne_pulchella;Miconia_albicans;Miconia_sellowiana;Mimosa_bimucronata;Mimosa_schomburgkii;Moquiniastrum_polymorphum;Myrcia_splendens;Myrcia_tomentosa;Myrsine_coriacea;Pachira_glabra;Paubrasilia_echinata;Peltophorum_dubium;Pilocarpus_microphyllus;Piptocarpha_axillaris;Pityrocarpa_gonoacantha;Pityrocarpa_paniculata;Plathymenia_reticulata;Pleroma_granulosum;Pleroma_sellowianum;Plinia_cauliflora;Pseudobombax_grandiflorum;Psidium_cattleianum;Psidium_guajava;Psidium_sartorianum;Pterocarpus_rohrii;Pterogyne_nitens;Pterygota_brasiliensis;Samanea_saman;Sapindus_saponaria;Schinus_molle;Schinus_terebinthifolia;Schizolobium_parahyba;Senegalia_polyphylla;Senna_macranthera;Senna_multijuga;Solanum_lycocarpum;Solanum_pseudoquina;Spondias_mombin;Stryphnodendron_adstringens;Tabernaemontana_hystrix;Tapirira_guianensis;Tecoma_stans;Trema_micranthum;Triplaris_americana;Vernonanthura_polyanthes;Zanthoxylum_rhoifolium;Zeyheria_tuberculosa
CSA1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;3;0;0;0;0;0;0;0;0;0;0;5;0;0;0
CSA2;0;0;1;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;2;0;3;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0
CSA3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;2;0;0;5;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0
CSA4;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
CSA5;0;0;3;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CSA6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;4;1;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0
CSA7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;8;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;0;1;0;0;0;0;0;0;0;0;4;0;0;0
EEG11;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
EEG12;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
EEG13;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
