site;Aegiphila integrifolia;Alchornea glandulosa;Anadenanthera colubrina;Andira anthelmia;Annona crassiflora;Apuleia leiocarpa;Astronium graveolens;Baccharis dracunculifolia;Bauhinia forficata;Bixa orellana;Cassia ferruginea;Cecropia pachystachya;Cedrela fissilis;Ceiba speciosa;Cenostigma pluviosum;Centrolobium microchaete;Centrolobium tomentosum;Cestrum laevigatum;Chloroleucon tortum;Cinnamomum verum;Citharexylum myrianthum;Copaifera langsdorffii;Cordia superba;Croton floribundus;Croton urucurana;Cupania vernalis;Cybistax antisyphilitica;Dalbergia nigra;Enterolobium contortisiliquum;Erythrina verna;Eugenia uniflora;Gallesia integrifolia;Genipa americana;Guarea guidonia;Guazuma ulmifolia;Handroanthus albus;Handroanthus heptaphyllus;Himatanthus bracteatus;Hydrochorea pedicellaris;Hymenaea courbaril;Inga edulis;Inga laurina;Inga vera;Jacaratia spinosa;Joannesia princeps;Lecythis pisonis;Libidibia ferrea;Luehea divaricata;Machaerium hirtum;Machaerium nyctitans;Marlimorimia contorta;Mespilodaphne pulchella;Miconia albicans;Miconia sellowiana;Mimosa bimucronata;Mimosa schomburgkii;Moquiniastrum polymorphum;Myrcia splendens;Myrcia tomentosa;Myrsine coriacea;Pachira glabra;Paubrasilia echinata;Peltophorum dubium;Pilocarpus microphyllus;Piptocarpha axillaris;Pityrocarpa gonoacantha;Pityrocarpa paniculata;Plathymenia reticulata;Pleroma granulosum;Pleroma sellowianum;Plinia cauliflora;Pseudobombax grandiflorum;Psidium cattleianum;Psidium guajava;Psidium sartorianum;Pterocarpus rohrii;Pterogyne nitens;Pterygota brasiliensis;Samanea saman;Sapindus saponaria;Schinus molle;Schinus terebinthifolia;Schizolobium parahyba;Senegalia polyphylla;Senna macranthera;Senna multijuga;Solanum lycocarpum;Solanum pseudoquina;Spondias mombin;Stryphnodendron adstringens;Tabernaemontana hystrix;Tapirira guianensis;Tecoma stans;Trema micranthum;Triplaris americana;Vernonanthura polyanthes;Zanthoxylum rhoifolium;Zeyheria tuberculosa
CSA1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;3;0;0;0;0;0;0;0;0;0;0;5;0;0;0
CSA2;0;0;1;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;2;0;3;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0
CSA3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;2;0;0;5;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0
CSA4;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
CSA5;0;0;3;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CSA6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;4;1;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0
CSA7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;8;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;0;1;0;0;0;0;0;0;0;0;4;0;0;0
EEG11;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
EEG12;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
EEG13;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
