site;Aegiphila_integrifolia;Alchornea_glandulosa;Anadenanthera_colubrina;Andira_anthelmia;Annona_crassiflora;Apuleia_leiocarpa;Astronium_graveolens;Baccharis_dracunculifolia;Bauhinia_forficata;Bixa_orellana;Cassia_ferruginea;Cecropia_pachystachya;Cedrela_fissilis;Ceiba_speciosa;Cenostigma_pluviosum;Centrolobium_microchaete;Centrolobium_tomentosum;Cestrum_laevigatum;Chloroleucon_tortum;Cinnamomum_verum;Citharexylum_myrianthum;Copaifera_langsdorffii;Cordia_superba;Croton_floribundus;Croton_urucurana;Cupania_vernalis;Cybistax_antisyphilitica;Dalbergia_nigra;Enterolobium_contortisiliquum;Erythrina_verna;Eugenia_uniflora;Gallesia_integrifolia;Genipa_americana;Guarea_guidonia;Guazuma_ulmifolia;Handroanthus_albus;Handroanthus_heptaphyllus;Himatanthus_bracteatus;Hydrochorea_pedicellaris;Hymenaea_courbaril;Inga_edulis;Inga_laurina;Inga_vera;Jacaratia_spinosa;Joannesia_princeps;Lecythis_pisonis;Libidibia_ferrea;Luehea_divaricata;Machaerium_hirtum;Machaerium_nyctitans;Marlimorimia_contorta;Mespilodaphne_pulchella;Miconia_albicans;Miconia_sellowiana;Mimosa_bimucronata;Mimosa_schomburgkii;Moquiniastrum_polymorphum;Myrcia_splendens;Myrcia_tomentosa;Myrsine_coriacea;Pachira_glabra;Paubrasilia_echinata;Peltophorum_dubium;Pilocarpus_microphyllus;Piptocarpha_axillaris;Pityrocarpa_gonoacantha;Pityrocarpa_paniculata;Plathymenia_reticulata;Pleroma_granulosum;Pleroma_sellowianum;Plinia_cauliflora;Pseudobombax_grandiflorum;Psidium_cattleianum;Psidium_guajava;Psidium_sartorianum;Pterocarpus_rohrii;Pterogyne_nitens;Pterygota_brasiliensis;Samanea_saman;Sapindus_saponaria;Schinus_molle;Schinus_terebinthifolia;Schizolobium_parahyba;Senegalia_polyphylla;Senna_macranthera;Senna_multijuga;Solanum_lycocarpum;Solanum_pseudoquina;Spondias_mombin;Stryphnodendron_adstringens;Tabernaemontana_hystrix;Tapirira_guianensis;Tecoma_stans;Trema_micranthum;Triplaris_americana;Vernonanthura_polyanthes;Zanthoxylum_rhoifolium;Zeyheria_tuberculosa
CSA1;0;0;0;0;0;0;0;0;0;39.331245;0;0;0;0;136.4146978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.277356924;0;0;0;0;15.61301067;0;0;232.4227647;4248.821559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29.6726861;0;274.8407657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54.46630636;0;436.6425375;0;1318.194542;0;0;0;0;0;0;0;0;0;0;129.3052019;0;0;0
CSA2;0;0;27.26302501;0;0;0;0;0;0;39.45391865;0;0;0;0;144.0818013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3870.692372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72.67697152;0;0;0;0;136.2553814;0;0;0;0;0;0;0;5.098125934;0;0;0;20.68644256;0;372.2316992;0;81.57001494;0;0;0;0;0;0;0;0;0;0;46.14441236;0;0;0
CSA3;0;0;0;0;0;0;0;0;0;7.965821772;0;0;0;0;35.80158937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62.45204269;1282.576963;0;0;0;0;0;0;0;12.84807394;41.84685151;0;0;0;0;0;0;0;0;0;0;0;0;174.0532057;0;0;0;0;0;0;0;0;0;0;131.9530411;0;3.903252668;55.93998339;0;197.6519527;0;0;1679.554488;0;976.5818688;0;0;0;0;0;0;0;0;0;0;15.17011098;0;0;0
CSA4;0;0;0;0;0;0;0;0;0;251.5518891;228.0017337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100.3892689;0;0;0;0;0;0;0;0;0;0;0;2883.762104;0;0;0;0;0;195.182548;0;158.7189988;0;0;0;0;0;0;0;0;0;0;0;13.46223879;0;361.595734;0;0;3077.376181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;674.2271548;0;0;0;0;0;0;0;0;0;0;0;0;157.2652363;0;0;0
CSA5;0;0;1443.713589;0;0;0;0;0;0;284.8609729;0;0;0;0;58.07084072;0;0;0;0;0;0;0;0;0;0;0;0;0;157.9025021;0;0;0;0;0;0;0;56.4179327;0;0;58.07084072;0;0;164.9124252;0;0;0;0;0;132.6022555;0;0;0;0;0;0;0;0;0;0;0;0;0;25.80926254;0;0;424.4986422;0;0;0;0;12.44659652;0;0;0;0;12.44659652;0;0;0;103.2370502;0;0;0;895.0397343;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CSA6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.098125934;0;0;0;0;0;0;0;15.61301067;0;0;0;0;0;75.85772415;0;0;0;2154.754789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90.53156443;0;0;0;0;0;0;0;0;0;69.32256397;0;0;0;7.189154149;0;0;176.0446612;0;4000.547215;207.1910243;263.3699823;0;0;0;0;0;0;0;0;0;0;195.1427189;0;0;0
CSA7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31.85452468;0;0;0;0;0;0;0;30.3696955;0;0;0;0;0;0;0;0;0;0;0;0;0;5.75530623;0;0;19.27728869;6984.176827;0;0;0;0;0;0;0;157.9821603;0;0;0;0;0;0;0;0;0;0;0;0;0;85.68754822;0;0;0;0;229.9135309;0;0;0;0;0;0;0;0;0;0;0;0;0;489.3324656;147.2880446;272.6103356;0;84.13899246;0;0;0;0;0;0;0;0;103.5716147;0;0;0
EEG11;0;225.5928692;402.6890188;0;0;11.09161023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.90441342;0;0;0;0;464.9618305;1597.365529;0;0;0;272.6103356;0;228.8548732;0;0;0;0;0;0;0;0;0;2939.58021;0;0;0;0;0;0;0;77.54249545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;502.2394866;0;0;0;0;0;0;0;0;0
EEG12;0;0;84.13899246;0;0;0;0;0;0;0;0;226.3002341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;349.4717533;0;0;0;0;0;0;1035.238197;0;141.8585404;0;80.55357608;0;0;0;0;0;0;0;24.39532918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5223.092153;0;0;0;0;0;0;471.0676329;156.2400351;0;0;0;0;0;0;0;0
EEG13;0;0;62.89892529;0;0;41.77356595;0;0;618.2760192;0;0;0;0;0;0;0;0;0;0;0;0;0;60.24152715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;201.5424601;0;0;0;1777.668718;0;254.5637664;0;1008.174318;0;0;0;0;0;0;0;69.03659097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2952.156649;0;0;0;0;0;0;401.5570755;1238.692455;0;0;0;0;0;0;0;0
