site;Aegiphila integrifolia;Anadenanthera colubrina;Cecropia pachystachya;Ceiba speciosa;Cenostigma pluviosum;Citharexylum myrianthum;Dalbergia nigra;Inga laurina;Jacaratia spinosa;Moquiniastrum polymorphum;Pityrocarpa gonoacantha;Pleroma granulosum;Pseudobombax grandiflorum;Schinus terebinthifolia;Schizolobium parahyba;Senna multijuga;Trema micranthum
REGUA_PV1;0;0;0;0;0;2;2;1;0;0;1;1;0;2;0;0;0
REGUA_PV2;0;1;1;1;1;3;0;2;0;0;0;0;1;0;2;0;0
REGUA_PV3;0;0;0;1;2;3;0;1;0;0;0;1;0;1;0;0;0
REGUA_PV4;5;0;0;4;1;1;1;2;0;0;0;1;0;1;0;0;0
REGUA_PV5;0;0;0;3;3;0;0;5;0;0;0;4;0;1;0;0;0
REGUA1;0;1;1;0;1;3;0;0;0;5;1;0;1;0;0;1;0
REGUA2;0;0;0;0;0;1;0;0;3;1;0;0;0;2;0;1;1
REGUA3;0;1;0;0;0;1;0;0;1;2;1;0;1;0;1;0;1
REGUA4;0;2;0;1;0;1;1;0;0;2;0;1;0;0;1;0;0
REGUA5;0;0;0;1;0;2;0;0;0;2;0;0;3;4;0;1;0
REGUA6;0;0;1;0;0;0;0;4;1;2;0;0;1;1;0;0;3
REGUA7;0;0;3;0;0;0;0;3;0;8;0;0;1;4;0;0;0
REGUA8;0;0;1;0;0;1;0;0;0;5;0;0;0;0;0;0;0
