site;parcela;biomassa_z_kg;log_biomass;produt_z_g.ano;log_produt;sr;unbias_simp;shannon;pd;mpd;mntd;sespd;sesmpd;sesmntd;psv;psc;pse;psr;gini;pcps1;pcps2;riq_inicial;PD_q0;PD_q1;PD_q2;PC1nutri;PC2nutri;valor_s;valor_t;ph;silte;PC1;PC2;PC1_clima;ppt;tmax;tmin;pet;vpd;altitude;declividade;idade_anos;mcwd;c_solo;c_soloid;n_solo;n_sid;c.n_solo;c.n_soloid
CSA;CSA1;588.2837688;6.377209432;73535.47111;11.20552317;12;0.93015873;2.406720313;1047.817274;0.728485553;0.517977572;-0.14483638;-0.217150642;0.056585531;0.805166464;0.525346284;0.794711513;9.661997572;0.49425876;0.010566928;-0.129417588;37;1059.995224;259.7811316;188.8996381;-1.323565162;-0.3601127;2.7;7.3;4.8;112.5;-1.850948211;0.216301499;0.555917011;115.6266674;28.3666667;18.7433332;95.835;0.739666667;40;2.5;8;-775.5800903;1.105;0.138125;0.11;0.01375;10.04545455;1.255681818
CSA;CSA2;399.7850629;5.99092706;49973.13286;10.8192408;11;0.929230769;2.304367673;806.959585;0.617384768;0.455415215;-1.954697008;-3.151249163;-0.950795429;0.679927031;0.44821842;0.679123245;7.479197343;0.471482942;-0.162185099;-0.064109443;37;819.137535;217.6606821;171.1408703;-1.323565162;-0.3601127;2.7;7.3;4.8;112.5;-1.850948211;0.216301499;0.555917011;115.6266674;28.3666667;18.7433332;95.835;0.739666667;40;2.5;8;-775.5800903;1.105;0.138125;0.11;0.01375;10.04545455;1.255681818
CSA;CSA3;391.2176091;5.96926395;48902.20114;10.79757769;14;0.935384615;2.46166235;1056.42802;0.627117075;0.447106234;-1.2545034;-3.190268714;-0.536238635;0.7011849;0.459975509;0.675356851;9.816588605;0.383252497;-0.159744881;-0.065629609;37;1068.60597;373.2725608;285.9592394;-1.323565162;-0.3601127;2.7;7.3;4.8;112.5;-1.850948211;0.216301499;0.555917011;115.6266674;28.3666667;18.7433332;95.835;0.739666667;40;2.5;8;-775.5800903;1.105;0.138125;0.11;0.01375;10.04545455;1.255681818
CSA;CSA4;445.6013637;6.099424749;55700.17046;10.92773849;11;0.941520468;2.305657338;803.963308;0.620535891;0.432513087;-1.957548483;-2.945670047;-1.171485922;0.685582314;0.431753609;0.682589482;7.54140545;0.397070203;-0.170512668;-0.05964479;37;816.141258;291.1917612;207.1113387;-1.323565162;-0.3601127;2.7;7.3;4.8;112.5;-1.850948211;0.216301499;0.555917011;115.6266674;28.3666667;18.7433332;95.835;0.739666667;40;2.5;8;-775.5800903;1.105;0.138125;0.11;0.01375;10.04545455;1.255681818
CSA;CSA5;303.0902115;5.714030489;37886.27643;10.54234423;14;0.967320261;2.553237003;984.094892;0.589319365;0.418575943;-1.971518925;-4.146906161;-0.831293906;0.661283319;0.434979785;0.634651626;9.257966459;0.35074838;-0.179671511;0.062847396;37;996.272842;303.6616894;207.1026454;-1.323565162;-0.3601127;2.7;7.3;4.8;112.5;-1.850948211;0.216301499;0.555917011;115.6266674;28.3666667;18.7433332;95.835;0.739666667;40;2.5;8;-775.5800903;1.105;0.138125;0.11;0.01375;10.04545455;1.255681818
CSA;CSA6;463.3077498;6.13839152;57913.46873;10.96670526;12;0.928853755;2.329186614;950.087806;0.739034148;0.506143296;-1.145877505;-0.645264834;-1.299495312;0.786674796;0.412046436;0.806219072;9.44009755;0.458187457;0.154920098;-0.023048049;37;962.265756;338.6583968;267.656683;-1.323565162;-0.3601127;2.7;7.3;4.8;112.5;-1.850948211;0.216301499;0.555917011;115.6266674;28.3666667;18.7433332;95.835;0.739666667;40;2.5;8;-775.5800903;1.105;0.138125;0.11;0.01375;10.04545455;1.255681818
CSA;CSA7;615.715813;6.422785515;76964.47663;11.25109925;13;0.907563025;2.335218102;967.424198;0.623196306;0.472306104;-1.572512268;-3.350241489;-0.590280011;0.685494721;0.46230788;0.675129333;8.911431371;0.466005224;-0.160459028;0.020969952;37;979.602148;215.5212579;167.1604673;-1.323565162;-0.3601127;2.7;7.3;4.8;112.5;-1.850948211;0.216301499;0.555917011;115.6266674;28.3666667;18.7433332;95.835;0.739666667;40;2.5;8;-775.5800903;1.105;0.138125;0.11;0.01375;10.04545455;1.255681818
EEG1;EEG11;295.1973369;5.687644071;73799.33422;11.20910499;11;0.961538462;2.245035274;793.850357;0.684407049;0.450440162;-1.350082359;-1.281907977;-1.293303237;0.759114813;0.432488654;0.760452278;7.591148134;0.405012599;-0.051742554;-0.049339287;98;823.557674;323.5650329;226.2236912;-0.886316114;1.654800814;2.3;5.25;5.3;50;-1.16249425;-0.233235744;1.664506767;93.52500006;28.2683334;19.52833333;104.9766667;0.769;28;0;4;-8693.223145;0.915;0.22875;0.075;0.01875;12.2;3.05
EEG1;EEG12;357.352151;5.878721713;89338.03776;11.40018263;10;0.923809524;2.153532457;768.163473;0.661113401;0.430729992;-1.584803078;-1.946521209;-1.205887977;0.724682382;0.438727748;0.734570447;7.246823824;0.376263466;0.019019233;-0.073943754;98;780.341423;317.5763886;229.7324766;-0.886316114;1.654800814;2.3;5.25;5.3;50;-1.16249425;-0.233235744;1.664506767;93.52500006;28.2683334;19.52833333;104.9766667;0.769;28;0;4;-8693.223145;0.915;0.22875;0.075;0.01875;12.2;3.05
EEG1;EEG13;449.9545038;6.109146475;112488.626;11.63060739;12;0.966666667;2.426015132;838.295403;0.61923554;0.395526729;-2.234447702;-3.16251697;-1.39210248;0.674031337;0.402442247;0.67552968;8.088376042;0.360013566;-0.172106917;-0.049657584;98;850.473353;401.0355694;306.1821661;-0.886316114;1.654800814;2.3;5.25;5.3;50;-1.16249425;-0.233235744;1.664506767;93.52500006;28.2683334;19.52833333;104.9766667;0.769;28;0;4;-8693.223145;0.915;0.22875;0.075;0.01875;12.2;3.05
