species,genus,family,species.relative,genus.relative
Anadenanthera colubrina,Anadenanthera,Fabaceae,,
Ceiba speciosa,Ceiba,Malvaceae,,
Citharexylum myrianthum,Citharexylum,Verbenaceae,,
Croton floribundus,Croton,Euphorbiaceae,,
Inga edulis,Inga,Fabaceae,,
Inga laurina,Inga,Fabaceae,,
Joannesia princeps,Joannesia,Euphorbiaceae,,
Moquiniastrum polymorphum,Moquiniastrum,Asteraceae,,
Pityrocarpa gonoacantha,Pityrocarpa,Fabaceae,,
Pityrocarpa paniculata,Pityrocarpa,Fabaceae,,
Plathymenia reticulata,Plathymenia,Fabaceae,,
Pleroma granulosum,Pleroma,Melastomataceae,,
Pseudobombax grandiflorum,Pseudobombax,Malvaceae,,
Tapirira guianensis,Tapirira,Anacardiaceae,,
