species,genus,family,species.relative,genus.relative
Aegiphila integrifolia,Aegiphila,Lamiaceae,, 
Anadenanthera colubrina,Anadenanthera,Fabaceae,,
Cecropia pachystachya,Cecropia,Urticaceae,,
Ceiba speciosa,Ceiba,Malvaceae,,
Cenostigma pluviosum,Cenostigma,Fabaceae,,
Citharexylum myrianthum,Citharexylum,Verbenaceae,,
Croton floribundus,Croton,Euphorbiaceae,,
Dalbergia nigra,Dalbergia,Fabaceae,,
Inga edulis,Inga,Fabaceae,,
Inga laurina,Inga,Fabaceae,,
Jacaratia spinosa,Jacaratia,Caricaceae,,
Joannesia princeps,Joannesia,Euphorbiaceae,,
Moquiniastrum polymorphum,Moquiniastrum,Asteraceae,,
Pityrocarpa gonoacantha,Pityrocarpa,Fabaceae,,
Pityrocarpa paniculata,Pityrocarpa,Fabaceae,,
Plathymenia reticulata,Plathymenia,Fabaceae,,
Pleroma granulosum,Pleroma,Melastomataceae,,
Pseudobombax grandiflorum,Pseudobombax,Malvaceae,,
Schinus terebinthifolia,Schinus,Anacardiaceae,,
Schizolobium parahyba,Schizolobium,Fabaceae,,
Senna multijuga,Senna,Fabaceae,,
Tapirira guianensis,Tapirira,Anacardiaceae,,
Trema micranthum,Trema,Cannabaceae,,
