species,genus,family,species.relative,genus.relative
Aegiphila integrifolia,Aegiphila,Lamiaceae,, 
Anadenanthera colubrina,Anadenanthera,Fabaceae,,
Cecropia pachystachya,Cecropia,Urticaceae,,
Ceiba speciosa,Ceiba,Malvaceae,,
Cenostigma pluviosum,Cenostigma,Fabaceae,,
Citharexylum myrianthum,Citharexylum,Verbenaceae,,
Dalbergia nigra,Dalbergia,Fabaceae,,
Inga laurina,Inga,Fabaceae,,
Jacaratia spinosa,Jacaratia,Caricaceae,,
Moquiniastrum polymorphum,Moquiniastrum,Asteraceae,,
Pityrocarpa gonoacantha,Pityrocarpa,Fabaceae,,
Pleroma granulosum,Pleroma,Melastomataceae,,
Pseudobombax grandiflorum,Pseudobombax,Malvaceae,,
Schinus terebinthifolia,Schinus,Anacardiaceae,,
Schizolobium parahyba,Schizolobium,Fabaceae,,
Senna multijuga,Senna,Fabaceae,,
Trema micranthum,Trema,Cannabaceae,,
