species,genus,family,species.relative,genus.relative
Aegiphila integrifolia,Aegiphila,Lamiaceae,, 
Alchornea glandulosa,Alchornea,Euphorbiaceae,,
Anadenanthera colubrina,Anadenanthera,Fabaceae,,
Andira anthelmia,Andira,Fabaceae,,
Annona crassiflora,Annona,Annonaceae,,
Apuleia leiocarpa,Apuleia,Fabaceae,,
Astronium graveolens,Astronium,Anacardiaceae,,
Baccharis dracunculifolia,Baccharis,Asteraceae,,
Bauhinia forficata,Bauhinia,Fabaceae,,
Cecropia pachystachya,Cecropia,Urticaceae,,
Cedrela fissilis,Cedrela,Meliaceae,,
Ceiba speciosa,Ceiba,Malvaceae,,
Cenostigma pluviosum,Cenostigma,Fabaceae,,
Centrolobium microchaete,Centrolobium,Fabaceae,,
Centrolobium tomentosum,Centrolobium,Fabaceae,,
Cestrum laevigatum,Cestrum,Solanaceae,,
Chloroleucon tortum,Chloroleucon,Fabaceae,,
Cinnamomum verum,Cinnamomum,Lauraceae,,
Citharexylum myrianthum,Citharexylum,Verbenaceae,,
Copaifera langsdorffii,Copaifera,Fabaceae,,
Cordia superba,Cordia,Boraginaceae,,
Croton floribundus,Croton,Euphorbiaceae,,
Croton urucurana,Croton,Euphorbiaceae,,
Cupania vernalis,Cupania,Sapindaceae,,
Cybistax antisyphilitica,Cybistax,Bignoniaceae,,
Dalbergia nigra,Dalbergia,Fabaceae,,
Enterolobium contortisiliquum,Enterolobium,Fabaceae,,
Erythrina verna,Erythrina,Fabaceae,,
Eugenia uniflora,Eugenia,Myrtaceae,,
Gallesia integrifolia,Gallesia,Petiveriaceae,,
Genipa americana,Genipa,Rubiaceae,,
Guarea guidonia,Guarea,Meliaceae,,
Guazuma ulmifolia,Guazuma,Malvaceae,,
Handroanthus albus,Handroanthus,Bignoniaceae,,
Handroanthus heptaphyllus,Handroanthus,Bignoniaceae,,
Himatanthus bracteatus,Himatanthus,Apocynaceae,,
Hydrochorea pedicellaris,Hydrochorea,Fabaceae,,
Hymenaea courbaril,Hymenaea,Fabaceae,,
Inga edulis,Inga,Fabaceae,,
Inga laurina,Inga,Fabaceae,,
Inga vera,Inga,Fabaceae,,
Jacaratia spinosa,Jacaratia,Caricaceae,,
Joannesia princeps,Joannesia,Euphorbiaceae,,
Lecythis pisonis,Lecythis,Lecythidaceae,,
Libidibia ferrea,Libidibia,Fabaceae,,
Luehea divaricata,Luehea,Malvaceae,,
Machaerium nyctitans,Machaerium,Fabaceae,,
Marlimorimia contorta,Marlimorimia,Fabaceae,,
Mespilodaphne pulchella,Mespilodaphne,Lauraceae,,
Miconia albicans,Miconia,Melastomataceae,,
Miconia sellowiana,Miconia,Melastomataceae,,
Mimosa bimucronata,Mimosa,Fabaceae,,
Mimosa schomburgkii,Mimosa,Fabaceae,,
Moquiniastrum polymorphum,Moquiniastrum,Asteraceae,,
Myrcia splendens,Myrcia,Myrtaceae,,
Myrcia tomentosa,Myrcia,Myrtaceae,,
Myrsine coriacea,Myrsine,Primulaceae,,
Pachira glabra,Pachira,Malvaceae,,
Paubrasilia echinata,Paubrasilia,Fabaceae,,
Peltophorum dubium,Peltophorum,Fabaceae,,
Pilocarpus microphyllus,Pilocarpus,Rutaceae,,
Piptocarpha axillaris,Piptocarpha,Asteraceae,,
Pityrocarpa gonoacantha,Pityrocarpa,Fabaceae,,
Pityrocarpa paniculata,Pityrocarpa,Fabaceae,,
Plathymenia reticulata,Plathymenia,Fabaceae,,
Pleroma granulosum,Pleroma,Melastomataceae,,
Pleroma sellowianum,Pleroma,Melastomataceae,,
Pseudobombax grandiflorum,Pseudobombax,Malvaceae,,
Psidium cattleianum,Psidium,Myrtaceae,,
Psidium guajava,Psidium,Myrtaceae,,
Psidium sartorianum,Psidium,Myrtaceae,,
Pterocarpus rohrii,Pterocarpus,Fabaceae,,
Pterogyne nitens,Pterogyne,Fabaceae,,
Pterygota brasiliensis,Pterygota,Malvaceae,,
Sapindus saponaria,Sapindus,Sapindaceae,,
Schinus molle,Schinus,Anacardiaceae,,
Schinus terebinthifolia,Schinus,Anacardiaceae,,
Schizolobium parahyba,Schizolobium,Fabaceae,,
Senegalia polyphylla,Senegalia,Fabaceae,,
Senna macranthera,Senna,Fabaceae,,
Senna multijuga,Senna,Fabaceae,,
Solanum lycocarpum,Solanum,Solanaceae,,
Solanum pseudoquina,Solanum,Solanaceae,,
Spondias mombin,Spondias,Anacardiaceae,,
Stryphnodendron adstringens,Stryphnodendron,Fabaceae,,
Tabernaemontana hystrix,Tabernaemontana,Apocynaceae,,
Tapirira guianensis,Tapirira,Anacardiaceae,,
Tecoma stans,Tecoma,Bignoniaceae,,
Trema micranthum,Trema,Cannabaceae,,
Vernonanthura polyanthes,Vernonanthura,Asteraceae,,
Zanthoxylum rhoifolium,Zanthoxylum,Rutaceae,,
Zeyheria tuberculosa,Zeyheria,Bignoniaceae,,
