especie;WD;SLA;LDMC;C_FOLIAR;N_FOLIAR;P_FOLIAR
Aegiphila integrifolia;0.367790844;192.9992182;0.246947596;;;
Anadenanthera colubrina;0.600859979;73.84118104;0.465893846;;;
Cecropia pachystachya;0.353680277;97.17298147;0.255586712;;;
Ceiba speciosa;0.376;118.0881531;0.327988095;45.7354;2.7966;1.568
Cenostigma pluviosum;0.443282168;152.5389285;0.395216457;;;
Citharexylum myrianthum;0.384;104.1840337;0.3;42.0784;1.6827;1.349
Dalbergia nigra;0.557891592;208.0963843;0.42622801;;;
Inga laurina;0.676891123;98.08197518;0.419378616;;;
Jacaratia spinosa;0.252;82.78165054;0.285230307;44.4214;2.2416;2.114
Moquiniastrum polymorphum;0.482;110.8112581;0.293883333;47.1224;2.7196;1.576
Pityrocarpa gonoacantha;0.512970723;67.15178567;0.497390845;;;
Pleroma granulosum;0.524983597;100.8094269;0.347690312;;;
Pseudobombax grandiflorum;0.254;89.96223218;0.42341827;45.918;2.1456;1.22
Schinus terebinthifolia;0.533667289;125.5237969;0.35633397;;;
Schizolobium parahyba;0.217430848;81.74061361;0.513783332;;;
Senna multijuga;0.453704294;159.9949912;0.379870787;;;
Trema micranthum;0.262;149.7670836;0.241033333;42.8786;2.3194;1.418
